source,target,year,value
FRA,GBR,2003,3499907.2260000035
FRA,IDN,2003,-104811.59100000001
FRA,IND,2003,-62233.77599999984
FRA,ITA,2003,-3841071.3960000016
FRA,JPN,2003,-1146649.9399999995
FRA,KOR,2003,442357.1329999999
FRA,MEX,2003,1229594.648
FRA,RUS,2003,-334518.95699999994
FRA,SAU,2003,1594809.141
FRA,TUR,2003,855556.0720000002
FRA,USA,2003,8967290.741999999
FRA,ZAF,2003,841223.299
GBR,IDN,2003,-396225.96600000013
GBR,IND,2003,1125669.3569999998
GBR,ITA,2003,-6842425.950999999
GBR,JPN,2003,-6988539.472999999
GBR,KOR,2003,-1681703.0969999996
GBR,MEX,2003,400373.43000000005
GBR,RUS,2003,-2600068.2270000004
GBR,SAU,2003,2977722.125
GBR,TUR,2003,-799771.9279999998
GBR,USA,2003,18829857.329000004
GBR,ZAF,2003,-282839.1139999996
IDN,IND,2003,702872.6560000001
IDN,ITA,2003,405794.36799999996
IDN,JPN,2003,6418157.365
IDN,KOR,2003,946131.3119999999
IDN,MEX,2003,212819.968
IDN,RUS,2003,-125556.09
IDN,SAU,2003,343561.417
IDN,TUR,2003,216760.00900000002
IDN,USA,2003,4977222.466
IDN,ZAF,2003,69054.796
IND,ITA,2003,384468.0959999999
IND,JPN,2003,-681366.2180000001
IND,KOR,2003,-2189665.215
IND,MEX,2003,-251322.881
IND,RUS,2003,-2039043.1109999998
IND,SAU,2003,697487.685
IND,TUR,2003,382717.241
IND,USA,2003,6813313.786
IND,ZAF,2003,87144.72100000002
ITA,JPN,2003,-624759.3999999994
ITA,KOR,2003,-276021.2990000001
ITA,MEX,2003,1758023.193
ITA,RUS,2003,-4179597.5250000004
ITA,SAU,2003,1573477.001
ITA,TUR,2003,2028901.776
ITA,USA,2003,14844806.95
ITA,ZAF,2003,161639.87599999993
JPN,KOR,2003,17530311.343
JPN,MEX,2003,2469479.596
JPN,RUS,2003,-656250.4109999998
JPN,SAU,2003,3415646.5239999997
JPN,TUR,2003,1239014.6709999999
JPN,USA,2003,68737033.88300002
JPN,ZAF,2003,-1116051.014
KOR,MEX,2003,2273604.287
KOR,RUS,2003,335501.26899999985
KOR,SAU,2003,1082730.54
KOR,TUR,2003,1316807.808
KOR,USA,2003,11831166.049999997
KOR,ZAF,2003,-49915.13199999998
MEX,RUS,2003,-51230.825
MEX,SAU,2003,28637.917
MEX,TUR,2003,10068.491000000002
MEX,USA,2003,61630009.425
MEX,ZAF,2003,-54228.846999999994
RUS,SAU,2003,209524.693
RUS,TUR,2003,3439871.3449999997
RUS,USA,2003,1950067.9700000002
RUS,ZAF,2003,-68299.288
SAU,TUR,2003,-629575.692
SAU,USA,2003,-3729077.885
SAU,ZAF,2003,-57514.375000000015
TUR,USA,2003,911504.5189999999
TUR,ZAF,2003,-30425.121
USA,ZAF,2003,-1147965.653
ARG,AUS,2004,64816.117
ARG,BRA,2004,-1959257.0609999998
ARG,CAN,2004,84606.937
ARG,CHN,2004,1778144.29
ARG,DEU,2004,-384172.843
ARG,EUN,2004,3217603.5529999994
ARG,FRA,2004,-372791.533
ARG,GBR,2004,-179808.47000000003
ARG,IDN,2004,151584.637
ARG,IND,2004,469977.314
ARG,ITA,2004,247596.67299999995
ARG,JPN,2004,-31614.282000000007
ARG,KOR,2004,117464.11899999998
